lon,lat,name
11.6122123,48.6884848,Freiwillige Feuerwehr Geisenfeld
8.8841,52.9864246,Freiwillige Feuerwehr Sudweyhe
9.2977918,50.3187169,Freiwillige Feuerwehr Hellstein
10.5792877,48.7780243,Freiwillige Feuerwehr Mönchsdeggingen
11.8616878,48.465042,Freiwillige Feuerwehr Inkofen
13.3658177,52.1428807,Freiwillige Feuerwehr Sperenberg
8.5689493,50.1214732,Freiwillige Feuerwehr Sossenheim
8.6542107,50.6226794,Freiwillige Feuerwehr Launsbach
10.9997758,49.3674877,Freiwillige Feuerwehr Dietersdorf
11.0285985,49.3627209,Freiwillige Feuerwehr Wolkersdorf
9.7392342,52.4410579,Feuerwehr Langenhagen
7.8089961,47.9326131,Feuerwehr Sölden
6.2701288,51.6696001,Freiwillige Feuerwehr Uedem
7.8042825,48.0174738,Feuerwehrhaus Freiwillige Feuerwehr Freiburg Abteilung 09 Lehen
6.9178838,51.8870724,Feuerwehr Gerätehaus Ramsdorf
7.0972472,52.1187582,Freiwillige Feuerwehr–Löschzug Heek
6.6850373,50.9374402,Freiwillige Feuerwehr Kreisstadt Bergheim - Löschzug Quadrath-Ichendorf
10.6291706,52.3158133,Freiwillige Feuerwehr Wendhausen
11.4639364,48.4974123,Freiwillige Feuerwehr Scheyern
13.3206881,52.4874539,Berufsfeuerwache Wilmersdorf
10.2528785,53.7075254,Freiwillige Feuerwehr Delingsdorf
8.5520821,48.0900702,Freiwillige Feuerwehr Dauchingen
12.5150289,50.6993893,Freiwillige Feuerwehr Zwickau-Oberhohndorf
12.4899571,50.6769756,Freiwillige Feuerwehr Zwickau-Cainsdorf
12.4706837,50.6912485,Freiwillige Feuerwehr Zwickau-Planitz
12.4667404,50.7525612,Freiwillige Feuerwehr Zwickau-Niederhohndorf
12.4745241,50.7659206,Freiwillige Feuerwehr Zwickau-Oberrothenbach
6.3546152,50.9194004,Feuerwache Jülich
9.3507459,47.9731356,FreiwilligeFeuerwehr Wangen
11.2336684,48.3722253,Freiwillige Feuerwehr Oberzeitlbach
8.7022987,49.4123589,Feuerwehr Altstadt
8.5118155,50.1780899,Feuerwehr Kronberg
8.7889207,50.213877,Freiwillige Feuerwehr Rendel
9.4919474,49.5537232,Feuerwehrgerätehaus
9.2143709,48.7363406,Freiwillige Feuerwehr Stuttgart - Abteilung Riedenberg
9.7235405,52.601951,Freiwillige Feuerwehr Berkhof
10.9945668,49.3311127,Freiwillige Feuerwehr Schwabach - Löschzug Untereichenbach
9.5235042,48.804298,Freiwillige Feuerwehr Schorndorf Abt. Stadt
9.5919084,47.6699153,Feuerwehr Tettnang
11.757234,48.1729375,Freiwillige Feuerwehr Kirchheim
7.7497539,52.4324042,Feuerwehr Voltlage
10.7592603,51.955282,Freiwillige Feuerwehr Berßel
9.9407495,48.341371,Feuerwehr Gögglingen
8.4890458,50.1253475,Feuerwehr Liederbach
10.8035806,48.2484925,Freiwillige Feuerwehr Wehringen
10.4813583,52.2715056,Ortsfeuerwehr Lehndorf
10.7147707,51.9668664,Freiwillige Feuerwehr Stadt Osterwieck
9.6774777,53.2702695,Feuerwehr Wistedt
6.1019435,50.887365,"Freiwillige Feuerwehr Herzogenrath, Löschzug Merkstein"
8.7519203,50.5992697,Freiwillige Feuerwehr Rödgen
12.4101073,49.4134712,Freiwillige Feuerwehr Dieterskirchen
12.2901816,49.7930328,Freiwillige Feuerwehr Schönkirch
7.0431199,51.6054692,Löschzug Scholven-Hassel
9.0339039,48.4919135,Feuerwehr Tübingen Abteilung Weilheim
8.7573079,50.5779911,Freiwillige Feuerwehr Annerod
10.3028454,52.0190204,Freiwillige Feuerwehr Alt Wallmoden
11.8107068,48.1737418,Freiwillige Feuerwehr Poing
11.6564434,48.0511243,Werkfeuerwehr IABG
11.1297995,47.7772028,Freiwillige Feuerwehr Oberhausen
6.86109,51.0651715,Freiwillige Feuerwehr Köln Löschgruppe Worringen
8.8239035,50.1982252,Freiwillige Feuerwehr Oberdorfelden
8.7575345,50.1586509,Freiwillige Feuerwehr Bergen
11.2361964,48.7291949,Freiwillige Feuerwehr Heinrichsheim
10.6837182,52.4723574,Freiwillige Feuerwehr Osloß
9.0878197,48.1831246,Feuerwehr Straßberg
6.8985112,49.2292064,Freiwillige Feuerwehr Klarenthal (LB 16)
8.6226686,50.1479294,Freiwillige Feuerwehr Praunheim
9.1484733,49.8449244,Freiwillige Feuerwehr Obernburg
11.0519862,49.7653376,Freiwillige Feuerwehr Markt Eggolsheim
7.9437262,51.8044752,Löschzug Vorhelm
10.1244583,50.7816739,FFw Stadtlengsfeld
13.4445489,52.5118289,Berufsfeuerwache Friedrichshain
11.3033584,49.387609,Freiwillige Feuerwehr Winkelhaid
9.6635939,50.5475449,Freiwillige Feuerwehr Fulda-Mitte
13.7020795,52.3689395,Freiwillige Feuerwehr Wernsdorf
8.3321268,50.8299195,Feuerwehr Steinbrücken
9.7962874,47.6019202,Freiwillige Feuerwehr Niederstaufen
11.0669932,49.3276276,Freiwillige Feuerwehr Penzendorf
10.7797726,51.9849466,Freiwillige Feuerwehr Deersheim
10.4900933,53.8362671,Freiwillige Feuerwehr Reinfeld
11.7364091,50.3754207,Feuerwehr Reitzenstein
7.0385025,49.281938,Freiwillige Feuerwehr Dudweiler Mitte (LB 18)
7.210484,50.7721193,Löschgruppe Niederpleis
9.8772915,48.7681224,Freiwillige Feuerwehr Schwäbisch Gmünd - Abteilung Weiler i.d.B.
11.3849421,48.0661106,Freiwillige Feuerwehr Gauting
11.5096385,49.9120222,Freiwillige Feuerwehr Mistelbach
10.1538015,50.7606473,FFw Weilar
9.9280068,52.2125922,Feuerwehr
9.9709148,52.1942877,Freiwillige Feuerwehr Asel
8.9362474,51.7132389,Feuerwehr Schwaney
8.9130969,48.7136031,Feuerwehr Grafenau-Döffingen
11.5818386,50.0960724,Feuerwehr Neuenmarkt
7.1400779,51.4054188,Freiwillige Feuerwehr Hattingen - Niederwenigern
8.4312256,50.2454399,Feuerwehr Oberreifenberg
7.5152567,51.3562913,Löschgruppe Holthausen
8.6362768,50.1565808,Feuerwache 21 / Bereichswache 21
11.9324616,50.2902911,Löschgruppe Moschendorf der Freiwilligen Feuerwehr Hof
12.2172772,51.1264925,Feuerwehr Profen
8.2194175,49.2399814,Freiwillige Feuerwehr Hochstadt
8.8340738,52.0242989,Feuerwehr Lemgo – Gerätehaus Lieme
13.7535317,52.412424,Freiwillige Feuerwehr Erkner
9.2710502,49.7105373,Freiwillige Feuerwehr Bürgstadt
8.5807709,49.7188406,Freiwillige Feuerwehr Rodau
8.8429723,50.1993761,Freiwillige Feuerwehr Kilianstädten
9.7314075,52.5442304,Freiwillige Feuerwehr Mellendorf
8.305669,50.0923922,Freiwillige Feuerwehr Wiesbaden Kloppenheim
10.6651805,52.1749352,Freiwillige Feuerwehr Dettum
14.8275582,51.2905414,Freiwillige Feuerwehr Niesky
8.2438439,50.3240436,Feuerwehr Oberselters
10.034239,52.2196396,Freiwillige Feuerwehr Rautenberg
10.4423403,48.403959,Freiwillige Feuerwehr Scheppach
10.4911393,48.3830182,Freiwillige Feuerwehr Freihalden e.V.
10.4330707,48.3871976,Freiwillige Feuerwehr Jettingen e.V.
7.1104687,51.1123725,Freiwillige Feuerwehr der Stadt Leichlingen Löschzug 4 Witzhelden
10.9721643,49.335648,Freiwillige Feuerwehr Gustenfelden
10.9488718,49.3691592,Freiwillige Feuerwehr Regelsbach
11.240745,48.2501027,Freiwillige Feuerwehr Rottbach
11.4131124,48.8236239,Freiwillige Feuerwehr Wettstetten
6.5083527,51.1902213,Freiwillige Feuerwehr Korschenbroich
12.0058824,51.8144202,Freiwillige Feuerwehr Trebbichau
9.9191145,52.5123978,Freiwillige Feuerwehr Wettmar
12.1589169,48.2777578,Freiwillige Feuerwehr Dorfen
12.1063585,48.281083,Freiwillige Feuerwehr Zeilhofen
12.0882072,48.2679712,Freiwillige Feuerwehr Esterndorf
12.3109952,49.7858845,FFW Plößberg
13.9443302,51.7464201,Freiwillige Feuerwehr Calau
8.5205317,50.1348635,Freiwillige Feuerwehr Sulzbach
10.7985402,47.6773959,Freiwillige Feuerwehr Prem
8.6773103,49.7908717,Niederbeerbacher Feuerwehr
